dates,store,link,asin,category
20-12-17,amazon,https://www.amazon.com/dp/B08J6F174Z,B08J6F174Z,rtx3080
21-02-03,amazon,https://www.amazon.com/dp/B08HR3Y5GQ/?tag=data20-20,B08HR3Y5GQ,rtx3080
21-02-03,amazon,https://www.amazon.com/dp/B08HJTH61J/?tag=data20-20#aod,B08HJTH61J,rtx3080
21-02-03,amazon,https://www.amazon.com/dp/B08HR5SXPS/?tag=data20-20#aod,B08HR5SXPS,rtx3080
21-02-03,amazon,https://www.amazon.com/dp/B08HR5SXPS/?tag=data20-20#aod,B08HR5SXPS,rtx3080
21-02-04,amazon,https://www.amazon.com/dp/B08HR5SXPS/?tag=data20-20#aod,B08HR5SXPS,rtx3080
21-02-09,amazon,https://amazon.com/dp/B08HR3Y5GQ?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08HR3Y5GQ,rtx3080
21-02-20,amazon,https://amazon.com/dp/B08HH5WF97?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08HH5WF97,rtx3080
21-02-25,amazon,https://amazon.com/dp/B08J6F174Z?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08J6F174Z,rtx3080
21-03-04,amazon,https://amazon.com/dp/B08HR5SXPS?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08HR5SXPS,rtx3080
21-03-05,amazon,https://amazon.com/dp/B08HR3Y5GQ?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08HR3Y5GQ,rtx3080
21-03-05,amazon,https://amazon.com/dp/B08HR3Y5GQ?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08HR3Y5GQ,rtx3080
21-03-06,amazon,https://amazon.com/dp/B08HR3Y5GQ?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08HR3Y5GQ,rtx3080
21-03-13,amazon,https://amazon.com/dp/B08HR55YB5?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08HR55YB5,rtx3080
21-03-14,amazon,https://amazon.com/dp/B08HR5SXPS?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08HR5SXPS,rtx3080
21-03-15,amazon,https://amazon.com/dp/B08HR7SV3M?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08HR7SV3M,rtx3080
21-03-15,amazon,https://amazon.com/dp/B08J6F174Z?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08J6F174Z,rtx3080
21-03-15,amazon,https://amazon.com/dp/B08J6F174Z?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08J6F174Z,rtx3080
21-03-15,amazon,https://amazon.com/dp/B08J6F174Z?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08J6F174Z,rtx3080
21-03-17,amazon,https://amazon.com/dp/B08HR5SXPS?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08HR5SXPS,rtx3080
21-03-18,amazon,https://amazon.com/dp/B08J6F174Z?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08J6F174Z,rtx3080
21-03-18,amazon,https://amazon.com/dp/B08J6F174Z?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08J6F174Z,rtx3080
21-03-18,amazon,https://amazon.com/dp/B08J6F174Z?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08J6F174Z,rtx3080
21-03-19,amazon,https://amazon.com/dp/B08J6F174Z?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08J6F174Z,rtx3080
21-03-20,amazon,http://instockalert.io/P/US/B08HH5WF97,B08HH5WF97,rtx3080
21-03-20,amazon,http://instockalert.io/P/US/B08HH5WF97,B08HH5WF97,rtx3080
21-03-25,amazon,http://instockalert.io/P/US/B08HH5WF97,B08HH5WF97,rtx3080
21-03-26,amazon,http://instockalert.io/P/US/B08J6F174Z,B08J6F174Z,rtx3080
21-03-28,amazon,http://instockalert.io/P/US/B08HR7SV3M,B08HR7SV3M,rtx3080
21-04-01,amazon,https://instockalert.io/P/US/B08HR3Y5GQ,B08HR3Y5GQ,rtx3080
21-04-01,amazon,https://instockalert.io/P/US/B08HR3Y5GQ,B08HR3Y5GQ,rtx3080
