dates,store,link,asin,category
21-02-19,amazon,https://amazon.com/dp/B08T9J1J28?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08T9J1J28,rx6800
21-02-20,amazon,https://amazon.com/dp/B08P3YT3MY?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08P3YT3MY,rx6800
21-02-20,amazon,https://amazon.com/dp/B08P3YT3MY?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08P3YT3MY,rx6800
21-02-20,amazon,https://amazon.com/dp/B08P3YT3MY?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08P3YT3MY,rx6800
21-02-20,amazon,https://amazon.com/dp/B08P3YT3MY?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08P3YT3MY,rx6800
21-02-20,amazon,https://amazon.com/dp/B08P3YT3MY?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08P3YT3MY,rx6800
21-02-22,amazon,https://amazon.com/dp/B08NXYBVDB?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08NXYBVDB,rx6800
21-02-22,amazon,https://amazon.com/dp/B08NXZSPMY?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08NXZSPMY,rx6800
21-02-23,amazon,https://amazon.com/dp/B08RHQC4KQ?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08RHQC4KQ,rx6800
21-02-25,amazon,https://amazon.com/dp/B08MNZM5TK?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08MNZM5TK,rx6800
21-02-25,amazon,https://amazon.com/dp/B08MNZM5TK?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08MNZM5TK,rx6800
21-02-25,amazon,https://amazon.com/dp/B08MVCLBWK?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08MVCLBWK,rx6800
21-02-25,amazon,https://amazon.com/dp/B08PFXMLPX?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08PFXMLPX,rx6800
21-02-25,amazon,https://amazon.com/dp/B08PFXMLPX?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08PFXMLPX,rx6800
21-02-26,amazon,https://amazon.com/dp/B08T9J1J28?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08T9J1J28,rx6800
21-02-27,amazon,https://amazon.com/dp/B08NXZSPMY?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08NXZSPMY,rx6800
21-02-28,amazon,https://amazon.com/dp/B08P2B5XXD?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08P2B5XXD,rx6800
21-02-28,amazon,https://amazon.com/dp/B08P2B5XXD?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08P2B5XXD,rx6800
21-02-28,amazon,https://amazon.com/dp/B08P2B5XXD?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08P2B5XXD,rx6800
21-02-28,amazon,https://amazon.com/dp/B08T9J1J28?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08T9J1J28,rx6800
21-02-28,amazon,https://amazon.com/dp/B08P2B5XXD?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08P2B5XXD,rx6800
21-03-01,amazon,https://amazon.com/dp/B08P2B5XXD?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08P2B5XXD,rx6800
21-03-01,amazon,https://amazon.com/dp/B08P2B5XXD?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08P2B5XXD,rx6800
21-03-01,amazon,https://amazon.com/dp/B08T9J1J28?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08T9J1J28,rx6800
21-03-01,amazon,https://amazon.com/dp/B08T9J1J28?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08T9J1J28,rx6800
21-03-01,amazon,https://amazon.com/dp/B08T9J1J28?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08T9J1J28,rx6800
21-03-02,amazon,https://amazon.com/dp/B08P2B5XXD?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08P2B5XXD,rx6800
21-03-02,amazon,https://amazon.com/dp/B08P2B5XXD?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08P2B5XXD,rx6800
21-03-02,amazon,https://amazon.com/dp/B08P2B5XXD?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08P2B5XXD,rx6800
21-03-02,amazon,https://amazon.com/dp/B08P2B5XXD?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08P2B5XXD,rx6800
