dates,store,link,asin,category
20-12-13,amazon,https://www.amazon.com/dp/B08HR9D2JS,B08HR9D2JS,rtx3090
20-12-15,amazon,https://www.amazon.com/dp/B08HR9D2JS,B08HR9D2JS,rtx3090
20-12-18,amazon,https://www.amazon.com/dp/B08HR9D2JS,B08HR9D2JS,rtx3090
20-12-21,amazon,https://www.amazon.com/dp/B08HJQ182D,B08HJQ182D,rtx3090
20-12-21,amazon,https://www.amazon.com/dp/B08HR9D2JS,B08HR9D2JS,rtx3090
20-12-21,amazon,https://www.amazon.com/dp/B08HJQ182D,B08HJQ182D,rtx3090
20-12-24,amazon,https://www.amazon.com/dp/B08J5F3G18,B08J5F3G18,rtx3090
20-12-24,amazon,https://www.amazon.com/dp/B08HR9D2JS,B08HR9D2JS,rtx3090
20-12-24,amazon,https://www.amazon.com/dp/B08HR9D2JS,B08HR9D2JS,rtx3090
20-12-24,amazon,https://www.amazon.com/dp/B08J5F3G18,B08J5F3G18,rtx3090
20-12-26,amazon,https://www.amazon.com/dp/B08J5F3G18,B08J5F3G18,rtx3090
20-12-26,amazon,https://www.amazon.com/dp/B08J5F3G18,B08J5F3G18,rtx3090
20-12-26,amazon,https://www.amazon.com/dp/B08J5F3G18,B08J5F3G18,rtx3090
20-12-26,amazon,https://www.amazon.com/dp/B08J5F3G18,B08J5F3G18,rtx3090
20-12-27,amazon,https://www.amazon.com/dp/B08HR9D2JS,B08HR9D2JS,rtx3090
20-12-27,amazon,https://www.amazon.com/dp/B08J5F3G18,B08J5F3G18,rtx3090
20-12-28,amazon,https://www.amazon.com/dp/B08J5F3G18,B08J5F3G18,rtx3090
20-12-28,amazon,https://www.amazon.com/dp/B08J5F3G18,B08J5F3G18,rtx3090
20-12-29,amazon,https://www.amazon.com/dp/B08J5F3G18,B08J5F3G18,rtx3090
21-01-01,amazon,https://www.amazon.com/dp/B08HRBW6VB,B08HRBW6VB,rtx3090
21-01-04,amazon,https://www.amazon.com/dp/B08J5F3G18,B08J5F3G18,rtx3090
21-01-06,amazon,https://www.amazon.com/dp/B08HJQ182D,B08HJQ182D,rtx3090
21-01-24,amazon,https://www.amazon.com/dp/B08HJGNJ81,B08HJGNJ81,rtx3090
21-01-24,amazon,https://www.amazon.com/gp/offer-listing/B08HJRF2CN,B08HJRF2CN,rtx3090
21-01-24,amazon,https://www.amazon.com/gp/offer-listing/B08HJGNJ81,B08HJGNJ81,rtx3090
21-01-24,amazon,https://www.amazon.com/gp/offer-listing/B08HBQWBHH,B08HBQWBHH,rtx3090
21-01-24,amazon,https://www.amazon.com/gp/offer-listing/B08HBQWBHH,B08HBQWBHH,rtx3090
21-01-24,amazon,https://www.amazon.com/gp/offer-listing/B08HR9D2JS,B08HR9D2JS,rtx3090
21-01-24,amazon,https://www.amazon.com/gp/offer-listing/B08HBQWBHH,B08HBQWBHH,rtx3090
21-01-24,amazon,https://www.amazon.com/gp/offer-listing/B08J5F3G18,B08J5F3G18,rtx3090
21-01-25,amazon,https://www.amazon.com/gp/offer-listing/B08HBVX53D,B08HBVX53D,rtx3090
21-01-25,amazon,https://www.amazon.com/gp/offer-listing/B08HBVX53D,B08HBVX53D,rtx3090
21-01-25,amazon,https://www.amazon.com/gp/offer-listing/B08HJRF2CN,B08HJRF2CN,rtx3090
21-01-25,amazon,https://www.amazon.com/gp/offer-listing/B08HBQWBHH,B08HBQWBHH,rtx3090
21-01-25,amazon,https://www.amazon.com/gp/offer-listing/B08HBVX53D,B08HBVX53D,rtx3090
21-01-25,amazon,https://www.amazon.com/gp/offer-listing/B08HBVX53D,B08HBVX53D,rtx3090
21-01-25,amazon,https://www.amazon.com/gp/offer-listing/B08HBVX53D,B08HBVX53D,rtx3090
21-01-26,amazon,https://www.amazon.com/gp/offer-listing/B08HBVX53D,B08HBVX53D,rtx3090
21-01-26,amazon,https://www.amazon.com/gp/offer-listing/B08HBVX53D,B08HBVX53D,rtx3090
21-01-26,amazon,https://www.amazon.com/gp/offer-listing/B08HBQWBHH,B08HBQWBHH,rtx3090
21-01-28,amazon,https://www.amazon.com/dp/B08HBVX53D#aod,B08HBVX53D,rtx3090
21-01-28,amazon,https://www.amazon.com/dp/B08HBVX53D#aod,B08HBVX53D,rtx3090
21-01-28,amazon,https://www.amazon.com/dp/B08HBVX53D#aod,B08HBVX53D,rtx3090
21-01-28,amazon,https://www.amazon.com/dp/B08HBVX53D#aod,B08HBVX53D,rtx3090
21-01-29,amazon,https://www.amazon.com/dp/B08HBVX53D#aod,B08HBVX53D,rtx3090
21-01-29,amazon,https://www.amazon.com/dp/B08HBVX53D#aod,B08HBVX53D,rtx3090
21-01-29,amazon,https://www.amazon.com/dp/B08HBVX53D#aod,B08HBVX53D,rtx3090
21-02-01,amazon,https://www.amazon.com/dp/B08HBVX53D/?tag=data20-20,B08HBVX53D,rtx3090
21-02-02,amazon,https://www.amazon.com/dp/B08J5F3G18/?tag=data20-20,B08J5F3G18,rtx3090
21-02-02,amazon,https://www.amazon.com/dp/B08HJRF2CN/?tag=data20-20,B08HJRF2CN,rtx3090
21-02-02,amazon,https://www.amazon.com/dp/B08HJGNJ81/?tag=data20-20,B08HJGNJ81,rtx3090
21-02-02,amazon,https://www.amazon.com/dp/B08J6GMWCQ/?tag=data20-20,B08J6GMWCQ,rtx3090
21-02-02,amazon,https://www.amazon.com/dp/B08J6GMWCQ/?tag=data20-20,B08J6GMWCQ,rtx3090
21-02-02,amazon,https://www.amazon.com/dp/B08J6GMWCQ/?tag=data20-20,B08J6GMWCQ,rtx3090
21-02-02,amazon,https://www.amazon.com/dp/B08J6GMWCQ/?tag=data20-20,B08J6GMWCQ,rtx3090
21-02-02,amazon,https://www.amazon.com/dp/B08J6GMWCQ/?tag=data20-20,B08J6GMWCQ,rtx3090
21-02-02,amazon,https://www.amazon.com/dp/B08J6GMWCQ/?tag=data20-20,B08J6GMWCQ,rtx3090
21-02-02,amazon,https://www.amazon.com/dp/B08J5F3G18/?tag=data20-20,B08J5F3G18,rtx3090
21-02-02,amazon,https://www.amazon.com/dp/B08HJGNJ81/?tag=data20-20,B08HJGNJ81,rtx3090
21-02-02,amazon,https://www.amazon.com/dp/B08HJGNJ81/?tag=data20-20,B08HJGNJ81,rtx3090
21-02-02,amazon,https://www.amazon.com/dp/B08J6GMWCQ/?tag=data20-20,B08J6GMWCQ,rtx3090
21-02-02,amazon,https://www.amazon.com/dp/B08HJGNJ81/?tag=data20-20,B08HJGNJ81,rtx3090
21-02-02,amazon,https://www.amazon.com/dp/B08HJGNJ81/?tag=data20-20,B08HJGNJ81,rtx3090
21-02-02,amazon,https://www.amazon.com/dp/B08J5F3G18/?tag=data20-20,B08J5F3G18,rtx3090
21-02-02,amazon,https://www.amazon.com/dp/B08J5F3G18/?tag=data20-20,B08J5F3G18,rtx3090
21-02-03,amazon,https://www.amazon.com/dp/B08J5F3G18/?tag=data20-20,B08J5F3G18,rtx3090
21-02-03,amazon,https://www.amazon.com/dp/B08HBQWBHH/?tag=data20-20,B08HBQWBHH,rtx3090
21-02-03,amazon,https://www.amazon.com/dp/B08HBQWBHH/?tag=data20-20,B08HBQWBHH,rtx3090
21-02-03,amazon,https://www.amazon.com/dp/B08HBQWBHH/?tag=data20-20,B08HBQWBHH,rtx3090
21-02-03,amazon,https://www.amazon.com/dp/B08HJGNJ81/?tag=data20-20,B08HJGNJ81,rtx3090
21-02-03,amazon,https://www.amazon.com/dp/B08J6GMWCQ/?tag=data20-20,B08J6GMWCQ,rtx3090
21-02-03,amazon,https://www.amazon.com/dp/B08HJGNJ81/?tag=data20-20,B08HJGNJ81,rtx3090
21-02-03,amazon,https://www.amazon.com/dp/B08HJGNJ81/?tag=data20-20,B08HJGNJ81,rtx3090
21-02-03,amazon,https://www.amazon.com/dp/B08HBQWBHH/?tag=data20-20,B08HBQWBHH,rtx3090
21-02-03,amazon,https://www.amazon.com/dp/B08J6GMWCQ/?tag=data20-20,B08J6GMWCQ,rtx3090
21-02-03,amazon,https://www.amazon.com/dp/B08J6GMWCQ/?tag=data20-20,B08J6GMWCQ,rtx3090
21-02-03,amazon,https://www.amazon.com/dp/B08HBQWBHH/?tag=data20-20,B08HBQWBHH,rtx3090
21-02-03,amazon,https://www.amazon.com/dp/B08HBQWBHH/?tag=data20-20,B08HBQWBHH,rtx3090
21-02-03,amazon,https://www.amazon.com/dp/B08HBQWBHH/?tag=data20-20,B08HBQWBHH,rtx3090
21-02-03,amazon,https://www.amazon.com/dp/B08HBQWBHH/?tag=data20-20,B08HBQWBHH,rtx3090
21-02-03,amazon,https://www.amazon.com/dp/B08HBQWBHH/?tag=data20-20,B08HBQWBHH,rtx3090
21-02-03,amazon,https://www.amazon.com/dp/B08HBQWBHH/?tag=data20-20,B08HBQWBHH,rtx3090
21-02-03,amazon,https://www.amazon.com/dp/B08HBQWBHH/?tag=data20-20,B08HBQWBHH,rtx3090
21-02-03,amazon,https://www.amazon.com/dp/B08HBQWBHH/?tag=data20-20,B08HBQWBHH,rtx3090
21-02-03,amazon,https://www.amazon.com/dp/B08HBQWBHH/?tag=data20-20,B08HBQWBHH,rtx3090
21-02-03,amazon,https://www.amazon.com/dp/B08HBQWBHH/?tag=data20-20,B08HBQWBHH,rtx3090
21-02-03,amazon,https://www.amazon.com/dp/B08J5F3G18/?tag=data20-20,B08J5F3G18,rtx3090
21-02-03,amazon,https://www.amazon.com/dp/B08J6GMWCQ/?tag=data20-20#aod,B08J6GMWCQ,rtx3090
21-02-03,amazon,https://www.amazon.com/dp/B08HJGNJ81/?tag=data20-20#aod,B08HJGNJ81,rtx3090
21-02-03,amazon,https://www.amazon.com/dp/B08J6GMWCQ/?tag=data20-20#aod,B08J6GMWCQ,rtx3090
21-02-03,amazon,https://www.amazon.com/dp/B08HJRF2CN/?tag=data20-20#aod,B08HJRF2CN,rtx3090
21-02-03,amazon,https://www.amazon.com/dp/B08HJGNJ81/?tag=data20-20#aod,B08HJGNJ81,rtx3090
21-02-03,amazon,https://www.amazon.com/dp/B08J6GMWCQ/?tag=data20-20#aod,B08J6GMWCQ,rtx3090
21-02-03,amazon,https://www.amazon.com/dp/B08HJGNJ81/?tag=data20-20#aod,B08HJGNJ81,rtx3090
21-02-03,amazon,https://www.amazon.com/dp/B08J5F3G18/?tag=data20-20#aod,B08J5F3G18,rtx3090
21-02-03,amazon,https://www.amazon.com/dp/B08J5F3G18/?tag=data20-20#aod,B08J5F3G18,rtx3090
21-02-04,amazon,https://www.amazon.com/dp/B08J5F3G18/?tag=data20-20#aod,B08J5F3G18,rtx3090
21-02-04,amazon,https://www.amazon.com/dp/B08HJGNJ81/?tag=data20-20#aod,B08HJGNJ81,rtx3090
21-02-04,amazon,https://www.amazon.com/dp/B08J5F3G18/?tag=data20-20#aod,B08J5F3G18,rtx3090
21-02-04,amazon,https://www.amazon.com/dp/B08J6GMWCQ/?tag=data20-20#aod,B08J6GMWCQ,rtx3090
21-02-04,amazon,https://www.amazon.com/dp/B08J6GMWCQ/?tag=data20-20#aod,B08J6GMWCQ,rtx3090
21-02-04,amazon,https://www.amazon.com/dp/B08J5F3G18/?tag=data20-20#aod,B08J5F3G18,rtx3090
21-02-04,amazon,https://www.amazon.com/dp/B08J5F3G18/?tag=data20-20#aod,B08J5F3G18,rtx3090
21-02-04,amazon,https://www.amazon.com/dp/B08J5F3G18/?tag=data20-20#aod,B08J5F3G18,rtx3090
21-02-04,amazon,https://www.amazon.com/dp/B08J5F3G18/?tag=data20-20#aod,B08J5F3G18,rtx3090
21-02-05,amazon,https://www.amazon.com/dp/B08J5F3G18/?tag=data20-20#aod,B08J5F3G18,rtx3090
21-02-06,amazon,https://amazon.com/dp/B08J6GMWCQ/?tag=data20-20#aod,B08J6GMWCQ,rtx3090
21-02-07,amazon,https://amazon.com/gp/aw/ol/B08HJGNJ81?ref_=olp_f_sm&condition=new&pldnSite=1&tag=data20-20,B08HJGNJ81,rtx3090
21-02-07,amazon,https://amazon.com/gp/aw/ol/B08HBQWBHH?ref_=olp_f_sm&condition=new&pldnSite=1&tag=data20-20,B08HBQWBHH,rtx3090
21-02-07,amazon,https://amazon.com/gp/aw/ol/B08J5F3G18?ref_=olp_f_sm&condition=new&pldnSite=1&tag=data20-20,B08J5F3G18,rtx3090
21-02-07,amazon,https://amazon.com/gp/aw/ol/B08J5F3G18?ref_=olp_f_sm&condition=new&pldnSite=1&tag=data20-20,B08J5F3G18,rtx3090
21-02-08,amazon,https://amazon.com/dp/B08J6GMWCQ?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08J6GMWCQ,rtx3090
21-02-08,amazon,https://amazon.com/dp/B08HBQWBHH?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08HBQWBHH,rtx3090
21-02-08,amazon,https://amazon.com/dp/B08HBQWBHH?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08HBQWBHH,rtx3090
21-02-09,amazon,https://amazon.com/dp/B08HJGNJ81?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08HJGNJ81,rtx3090
21-02-09,amazon,https://amazon.com/dp/B08HR9D2JS?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08HR9D2JS,rtx3090
21-02-09,amazon,https://amazon.com/dp/B08HR9D2JS?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08HR9D2JS,rtx3090
21-02-09,amazon,https://amazon.com/dp/B08HJGNJ81?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08HJGNJ81,rtx3090
21-02-11,amazon,https://amazon.com/dp/B08HR9D2JS?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08HR9D2JS,rtx3090
21-02-11,amazon,https://amazon.com/dp/B08HJGNJ81?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08HJGNJ81,rtx3090
21-02-11,amazon,https://amazon.com/dp/B08J5F3G18?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08J5F3G18,rtx3090
